Rating,Ulasan
1,Udah jelek gane ini dihuni bocah n afk gak adil dlm ngasi tim solo rank saya kecewa berat ama game ini uinstal aj gak pernah dikasi tim pro percuma bermain baik
1,"Lama-lama bikin bosan main, ketemu player-player bodoh,"
1,Bagi developnya gausah banyakin event dulu bugnya lah yang diperbaiki mulai 1.gue yang legend masa tiba² main Ama epic padahal gue trio tapi tetap kaga bisa menang kalah Mulu 2.masalah jaringan pas di lobby baik² aja jaringannya tapi pas main tiba² jelek parah 3.setiap mau naik rank ada aja ke dalanya tim bot lah musuh jago lah dll kek gak pernah gitu mau kasih kemudahan untuk player nya
1,"moonton kalau ngasih rekan tim itu yg pake otak, wkwkw parah game nya ini, katanya game adil, adil bapak kauu, layak bintang 1"
5,game yang bagus. cuma Susa naik rank
1,"..SISTEM GAK JELAS..koneksi parah Hero jalan"" sendiri bug gak dibenerin malah ngurusi even gak penting..bikin muak"
5,saya menyukainya
1,lu perbaiki draksistem nya tolol lu jangan minta pendapat doang lu kerjain bodo
5,sangat seru permainan ini saya suka
2,bagus
1,game isinya dark sistem semua
1,"GAME RUSAKKKK, JANGAN D DWONLOAD NNTI NYESEL!!!!!"
5,sangat ok bosku
1,"S36 PEMBAWA SIAL! Satu bintang terlalu banyak buat ML knp? Karna Matchingnya sangat amat ga adil dan ancur parah di semua mode termasuk CHESS, mentang2 matchingnya cepet dikasih tim tolol yg ga becus, yg egois dan ga mau ngalah terus menerus, player solo sangat amat tersiksa disini, magic chess dapet Hero dan spellnya ancur parah dan tolong hapus speed modenya karna ga guna SAMA SEKALI, chat jg monton sok suci banget di chat nya, kata yg ga kasar aja dianggap kasar sama monton yg suci ini hebat"
5,ntaps
1,montoon lahir hasil Zina anak Haram
1,"sangat menyesal top up di sini bejuta"" karna akun di curi, giliran hubungi CS malah gw yg di tuduh mencuri emng GK jelas ml skrng"
1,"this game is broken ,, the orner like ugly dog"
5,sangatttt bagusssssss browwwwww
5,sio
1,MAIN SOLO DAPAT TIM DARK SYSTEM SEMUA. JANGAN HARAP BISA KE MYTIC UNTUK PLAYER SOLO.
1,"matchmaking sampah, glory Ama imo receh sering nabrak top global ditambah kalo duo sering setim sama orang idiot"
1,game sampah minion spawn delay
1,"sumpah kesel banget sering kejadian chat aku di ban dari chat publik sama chat pribadi padahal gada ngetik kata kata kasar atau yg ga sopan, udah pernah ajuin banding langsung dihapus memang hukumannya trus minta maaf alasannya terlalu ketat peninjauan chat sehingga salah, sekali dua kali okedeh gapapa masih di maklumin tapi setelah kejadian itu aku ngechat di publik lagi bukan kata kata kasar langsung di ban lagi, ini udah kesekian kalinya di ban dari chat gada toleran lagi aku"
1,"setiap bermain pada match ranked dan classic, selalu mendapatkan tim dark system 🤮🤮🤮🤮🤮🤮🤮"
1,game nya burikkk semakin kesinih jaringan nya gak stabill sama dapet tim ny pada anehhhh dark sistem gimana ini moontoon
5,cihh game apaan ini mau main dikalahin mau skirp diban mau cheat diban permanen sedangkan RW di diemin
5,💯💯💯👍👍
2,hapus dark sistem dari mlbb
1,Knapa punya saya pas login memuat terus padahal udh 100
1,"KALAU NGASIH TIM YG NGOTAK, SISTEM KEK JEMBUD GITU"
1,matchmaking yang sangat buruk
5,gw suka musuh. nya proo player yg penting nambahh Gege nambah suasanan untukk coklat🗿🗿
