Rating,Ulasan
1,game bikin kesel 2025 penuh dengan player dark sistem
4,saya sangat senang bisa bermain game ini karena di mana sja bisa menghibur saya
1,game apa ini kok kayak bot semua
5,aku suka game nya tapi gemnya susah
1,notifi iklan lu ganggu
1,serah kau lah moonton
4,tlong klu udah mamah main akun jdi heck atau di ambil sejenak aj ok
5,"ni game apaan si kon* , toxsic anj lingkunganny . gak rekomen buat pemula"
1,gk bisa login erorr
2,montoon jahat ngasih lostrek mulu
3,"game apa inii?? , dicocokin ama tim yg ga bisa main atau yang ex imo mulu, ngotak dikit matchmaking nya moontonnn kalo besok masi gaada perubahan sistemnya, gaada perubahan juga buat penilaiannya, TERIMAKASIH!"
1,game rusak... banyak player' egois gak ada otak
1,game pepek main ngelag mulu jaringan bagus menit 1 -5 ngelag gamain main emang ngentod lu moonton
1,colleb tros macthmaking gak diurus
1,game sampah
5,game nya menarik cuma tolong hapus para dark sistem dong
5,game ini sangat seru
1,ml ml puna tim ga benar amat moton moton seteres saya main ml 🤯😡
1,"susah push rank, gk pernah sampai mhitic.., stag di legend,dapat lawannya rank atas, sedangkan tim saya seperti BOT..,dark sistem, mainnya.."
1,Matching GK seimbang bintang 2 Bintang 1 uninstall kalo sistem nonton masih gini lah mau main have fun aja udah GK bisa di troll Mulu cape game ini bikin strees doang bsekarang kalo mau have fun main solo
1,Apa tidak ada seleksi ketika match making yg sesuai dengan skill? Feel bermain menjadi berkurang dengan tidak system filtering random player
1,game ga ada ahlak bikin para bocil setres
1,ga jelas moonton udah bintang 1 lagi ke mytic aja kasih temen ga sebanding lawan kalo ga drak sytem kek mana bikin capek satu kali lagi lose streak udah lah ga usah pada main game ga jelas
3,Perbaiki jumping jumping rusak dan stabilkan jaringan ! montoon knapa gua dapet tim poke mulu mnton gua cape mvp kalah jir dah
5,Iki EPEP🗿
5,lumayanlah
1,"game tidak adil masa gue main solo ketemu lawan legend semua lawan nya ada yg pernah glory, sedangkan tim gue ada yg masih epic. ayolah monton ciptakan match yg se adil-adil nya. maaf gue kasih Bintang satu"
1,"Makasih monton dah ngasi tim gg(gk guna) lain kali kalo mau ngasi tim gg lagi yg banyak skalian ya biar gw pensi,dan akhirnya gw pensi ml hahahahahah"
5,kereen
1,"buang-buang waktu main game ini, waktu main bukan naik bintang malah turun bintang emang gak jelas game"
1,stres ngasih game ga ngotak di lose in 10kali di tier glory setan
3,"aku kasih bintang 3 soalnya ga bisa login padahal gamenya seru banget , tolong perbaiki nnti aku kasih ranting 1"
1,game taekk asu macth gk imbang server taekk mbokne ancokk
1,masalah sinyal dan tim ga se imbang musuh lebih kuat tapi tim sendiri suka agak lemah dan ketemu tim akun mini data ga palid
1,game kntl
1,"game bikin stes udah banyak yang ngetrol sinyalnya ngelag"" pulak apalh monton"
1,kemana sih mode higleg nya jadi susah kan momen Momen saat main Game jadi GK bisa di lihat kembali
5,even keren
